                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    136,                0.83567,                0.34653,                 1.1988,                0.98351,                0.97454,                0.99066,                0.76984,                0.87274,                0.31155,                 1.3638,              0.0006734,              0.0006734,              0.0006734
                    137,                 0.8503,                0.34892,                 1.1801,                0.98182,                0.98148,                0.99393,                0.77991,                0.84618,                0.29396,                 1.3357,              0.0006635,              0.0006635,              0.0006635
                    138,                0.83743,                 0.3405,                 1.1895,                0.98263,                0.98237,                0.99385,                0.77863,                0.84413,                0.29184,                 1.3409,              0.0006536,              0.0006536,              0.0006536
                    139,                0.83862,                0.34685,                 1.1938,                0.98528,                 0.9838,                0.99419,                0.77413,                0.84981,                0.29057,                 1.3404,              0.0006437,              0.0006437,              0.0006437
                    140,                0.83325,                 0.3475,                 1.1917,                0.98279,                0.98032,                0.99364,                0.77235,                0.85946,                0.29867,                 1.3502,              0.0006338,              0.0006338,              0.0006338
                    141,                0.83723,                0.34782,                 1.1947,                0.98303,                0.97917,                0.99371,                 0.7761,                0.83741,                0.29604,                 1.3299,              0.0006239,              0.0006239,              0.0006239
                    142,                0.82522,                0.34313,                 1.1919,                0.98556,                0.98148,                0.99373,                 0.7763,                0.85465,                0.28979,                 1.3512,               0.000614,               0.000614,               0.000614
                    143,                0.81487,                0.33871,                 1.1798,                0.98256,                 0.9838,                0.99298,                 0.7736,                0.85812,                  0.293,                 1.3511,              0.0006041,              0.0006041,              0.0006041
                    144,                0.81526,                0.34255,                 1.1833,                0.99063,                0.97875,                0.99405,                0.77604,                0.85476,                0.29304,                 1.3437,              0.0005942,              0.0005942,              0.0005942
                    145,                 0.8372,                0.34248,                 1.1897,                0.98671,                 0.9838,                0.99429,                0.78107,                0.84438,                0.29146,                 1.3352,              0.0005843,              0.0005843,              0.0005843
                    146,                0.82972,                0.34135,                 1.1868,                0.98263,                 0.9824,                0.99401,                0.77668,                0.85223,                0.29673,                 1.3447,              0.0005744,              0.0005744,              0.0005744
                    147,                0.81938,                0.34266,                  1.195,                0.98291,                0.97685,                0.99383,                0.77864,                0.84556,                0.28994,                 1.3458,              0.0005645,              0.0005645,              0.0005645
                    148,                 0.8206,                0.33659,                 1.1819,                0.98494,                0.98376,                 0.9939,                0.77622,                0.84269,                0.29101,                 1.3418,              0.0005546,              0.0005546,              0.0005546
                    149,                0.80802,                 0.3307,                 1.1768,                0.98347,                0.98148,                0.99404,                0.77514,                0.85843,                0.29456,                 1.3487,              0.0005447,              0.0005447,              0.0005447
                    150,                0.82718,                0.33741,                 1.1744,                0.98038,                0.98324,                0.99379,                 0.7775,                0.85231,                0.28806,                   1.34,              0.0005348,              0.0005348,              0.0005348
